id,Nome do Filme,Ano de Lancamento,Decada do Filme,Duracao,Lancamento,Classificao do Filme,Publico Alvo,Diretor,Estrela,Genero,Tematica,Pais de Origem,Produtora,Idioma,Indicado a Premiações de Cinema,Nota
tt0119484,Kull the Conqueror,1997,1990,1h 35m,Cinema,+12,Família,Outros,Kevin Sorbo,Espada e Feitiçaria,Ação,Estados Unidos,Universal Pictures,Inglês,0,4.8
tt0119346,I Married a Strange Person!,1997,1990,1h 15m,Cinema,+16,Jovens,Outros,Outros,Animação Adulta,Animação,Estados Unidos,Outros,Inglês,4,6.9
tt0118540,4 Little Girls,1997,1990,1h 42m,Televisao,+14,Jovens,Spike Lee,Outros,Documentário de Crime,Outros,Estados Unidos,40 Acres  A Mule Filmworks,Inglês,12,7.8
tt0120210,Stiff Upper Lips,1997,1990,1h 34m,Cinema,+16,Jovens,Outros,Outros,Paródia,Comédia,Reino Unido,Impact Pictures,Latin,0,6.1
tt0120001,Behind the Lines,1997,1990,1h 36m,Cinema,+16,Jovens,Gillies MacKinnon,Jonathan Pryce,Biografia,Drama,Reino Unido,British Broadcasting Corporation BBC,Inglês,1,7.0
tt0149171,Strays,1997,1990,1h 45m,Cinema,+16,Jovens,Outros,Vin Diesel,Crime,Drama,Estados Unidos,Outros,Inglês,0,5.5
tt0118720,Bikini Summer III: South Beach Heat,1997,1990,1h 27m,Cinema,+16,Jovens,Outros,Outros,Comédia Vulgar,Comédia,Estados Unidos,Outros,Inglês,0,2.9
tt0107290,Jurassic Park,1993,1990,2h 7m,Cinema,+12,Família,Steven Spielberg,Sam Neill,Aventura com Dinossauros,Aventura na Selva,Estados Unidos,Universal Pictures,Inglês,27,8.2
tt0106453,Body of Evidence,1993,1990,1h 39m,Cinema,+16,Jovens,Uli Edel,Madonna,Thriller Erótico,Drama Legal,Alemanha,Constantin Film,Inglês,8,4.6
tt0107613,Mr. Wonderful,1993,1990,1h 38m,Cinema,+12,Família,Anthony Minghella,Matt Dillon,Comédia,Romance,Estados Unidos,The Samuel Goldwyn Company,Inglês,0,5.9
tt0106408,Bhaji on the Beach,1993,1990,1h 41m,Cinema,+16,Jovens,Gurinder Chadha,Outros,Aventura,Comédia,Reino Unido,Channel Four Films,Inglês,5,6.4
tt0106185,The Innocent,1993,1990,1h 59m,Cinema,+16,Jovens,John Schlesinger,Isabella Rossellini,Drama,Indefinido,Alemanha,Outros,Inglês,0,5.6
tt0105619,The Heroic Trio,1993,1990,1h 28m,Cinema,+16,Jovens,Outros,Michelle Yeoh,Superhero,Ação,Hong Kong,Outros,Cantonês,3,6.6
tt0109099,American Yakuza,1993,1990,1h 36m,Cinema,+16,Jovens,Outros,Viggo Mortensen,Ação,Crime,Estados Unidos,First Look International,Inglês,0,5.6
tt0108656,Crime Story,1993,1990,1h 43m,Cinema,+16,Jovens,Jackie Chan,Jackie Chan,Crime Verdadeiro,Ação,Hong Kong,Golden Harvest Company,Mandarim,8,6.7
tt0107877,Prison Heat,1993,1990,1h 31m,Cinema,+16,Jovens,Joel Silberg,Outros,Crime,Drama,Estados Unidos,Global Pictures,Turkish,0,4.2
tt0136523,Seasons of the Heart,1993,1990,1h 39m,Cinema,Livre,Família,TC Christensen,Sam Hennings,Drama,Família,Estados Unidos,Outros,Inglês,0,6.5
tt4073790,The Darkest Minds,2018,2010,1h 44m,Cinema,+12,Família,Outros,Amandla Stenberg,Superhero,Ação,Estados Unidos,21 Laps Entertainment,Inglês,3,5.7
tt5834262,Hotel Artemis,2018,2010,1h 34m,Cinema,+16,Jovens,Outros,Jodie Foster,Comédia Sombria,Ação,Reino Unido,Marc Platt Productions,Inglês,0,6.1
tt3892172,Leave No Trace,2018,2010,1h 49m,Cinema,+10,Família,Outros,Thomasin McKenzie,Aventura,Drama,Estados Unidos,BRON Studios,Inglês,92,7.1
tt7615302,Red Joan,2018,2010,1h 41m,Cinema,+16,Jovens,Outros,Judi Dench,Espionagem,Biografia,Reino Unido,Outros,Inglês,0,6.4
tt7542576,All About Nina,2018,2010,1h 37m,Cinema,+16,Jovens,Outros,Mary Elizabeth Winstead,Drama,Indefinido,Estados Unidos,Outros,Inglês,0,6.2
tt0186151,Frequency,2000,2000,1h 58m,Cinema,+12,Família,Gregory Hoblit,Dennis Quaid,Serial Killer,Suspense / Mistério,Estados Unidos,New Line Cinema,Inglês,8,7.4
tt0191754,28 Days,2000,2000,1h 43m,Cinema,+12,Família,Betty Thomas,Sandra Bullock,Comédia,Drama,Estados Unidos,Columbia Pictures,Inglês,0,6.1
tt0216216,The 6th Day,2000,2000,2h 3m,Cinema,+12,Família,Roger Spottiswoode,Arnold Schwarzenegger,Thriller de Conspiração,Thriller Cibernético,Estados Unidos,Phoenix Pictures,Inglês,0,5.9
tt0146882,High Fidelity,2000,2000,1h 53m,Cinema,+16,Jovens,Stephen Frears,John Cusack,Romance Leve,Comédia Romântica,Reino Unido,Touchstone Pictures,Inglês,23,7.4
tt0208988,Get Carter,2000,2000,1h 42m,Cinema,+16,Jovens,Outros,Sylvester Stallone,Ação,Crime,Estados Unidos,Morgan Creek Entertainment,Inglês,0,5.2
tt0153464,Up at the Villa,2000,2000,1h 55m,Cinema,+12,Família,Philip Haas,Kristin Scott Thomas,Drama,Romance,Reino Unido,October Films,Inglês,0,6.0
tt0216651,Vampire Hunter D: Bloodlust,2000,2000,1h 43m,Cinema,+16,Jovens,Outros,Pamela Adlon,Animação Adulta,Anime,Japão,Madhouse,Japonês,0,7.6
tt0215679,Cowboys and Angels,2000,2000,1h 37m,Cinema,+10,Família,Outros,Radha Mitchell,Comédia,Romance,Estados Unidos,Outros,Inglês,0,6.1
tt0170452,Prince of Central Park,2000,2000,1h 49m,Cinema,+12,Família,Outros,Kathleen Turner,Ação,Aventura,Estados Unidos,SeagalNasso Productions,Inglês,0,5.1
tt0214388,100 Girls,2000,2000,1h 34m,Cinema,+16,Jovens,Michael Davis,Jonathan Tucker,Romance Leve,Comédia Vulgar,Estados Unidos,Outros,Inglês,2,5.8
tt0205177,Kevin & Perry Go Large,2000,2000,1h 22m,Cinema,+16,Jovens,Outros,Rhys Ifans,Comédia Sombria,Comédia,Reino Unido,Icon Productions,Inglês,0,5.7
